Barrier Id,Modelled Crossing Id,Watercourse Name,Road Name,Structure Type,Reason For Exclusion,Method Of Exclusion,Reason,Notes,Supporting Links
197694,24713788.0,Prospect Creek,Prospect Creek FSR,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,"Not accessible to anadromous salmonids; however, high-quality habitat may be worth pursuing r for non-focal species.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198962
197695,24713781.0,Prospect Creek,Prospect Creek FSR,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,"Not accessible to anadromous salmonids; however, high-quality habitat may be worth pursuing r for non-focal species.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198961
197696,11305711.0,Prospect Creek,Prospect Creek FSR,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,GPS coordinates incorrect,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198596
197880,11301738.0,Stumbles Creek,Private,Stream crossing - CBS,Passable,Field assessment,,Passable to adult fish at all flows and to all juvenile Coho at low flows; 87.5% of juvenile Coho at higher flows.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200140
197881,,Stumbles Creek,unnamed,Stream crossing - CBS,Passable,Field assessment,,,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS4220]&searchKeyType=searchAll&sortColumn=title
197883,11301743.0,Stumbles Creek,Private,Stream crossing - CBS,Passable,Field assessment,passable to most fish at most flows,Passable to adult fish at all flows and to all juvenile Coho at low flows; 87.5% of juvenile Coho at higher flows.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200142
197885,,Stumbles Creek,Unnamed,Stream crossing - OBS,Passable,Field assessment,OBS Bridge,,
197886,,Stumbles Creek,Unnamed,Stream crossing - OBS,Passable,Field assessment,OBS Bridge,,
197887,11304111.0,Kwinshatin Creek,Kettle Valley Railway,Stream crossing - OBS,Passable,,,"Bridge washed out, debris still present but not blocking fish. High density Rainbow Trout juveniles where crossing used to be. Fish temporarily stranded due to low water. Large log jam dam 10 m upstream from crossing, not passable by adults.",
197888,11301312.0,Kwinshatin Creek,200th Street,Stream crossing - Ford,No key upstream habitat,Field assessment,No suitable habitat for focal species,"No crossing structure present, no dip in the road to form a ford. Stream dry at time of assessment. ",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS4220]&searchKeyType=searchAll&sortColumn=title
197890,11304224.0,Brook Creek,Kettle Valley Railway,None,Passable,Field assessment,Passable,Burned out bridge with debris in stream but not blocking passage.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198910
197891,11304291.0,Brook Creek,Kettle Valley Railway,None,No structure,Field assessment,Passable,Burned out bridge has collapsed but is not causing any passage issues.,
198881,11300797.0,Midday Creek,2000th Street,Stream crossing - CBS,No key upstream habitat,Field assessment,Upstream of inaccessible wetland,Crossing scores as barrier but contains low quality rearing habitat suitable for Rainbow Trout only. No spawning or overwintering habitat.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200161
198882,11303627.0,Midday Creek,Unnamed,Stream crossing - CBS,No key upstream habitat,Field assessment,Habitat unsuitable for salmonids (though 1 Rainbow Trout captured). Organic bed likely leads to oxygen depletion in summer. ,Culvert is a barrier. Slow flows through summer. Abundant Sucker presence.,https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200162
198883,11303791.0,Midday Creek,Unnamed,None,No structure,Field assessment,Crossing does not exist,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200163
203621,,Trib to Coldwater,TMX pipleline ROW,None,No structure and key upstream habitat,,Stream and structure do not exist.,,
203624,11300002.0,Trib to Coldwater,Highway 5,Stream crossing - CBS,No key upstream habitat,Field assessment,,Stream does not exist - ditch and crossdrain,
203625,11301334.0,Trib to Coldwater,TMX Pipeline ROW,Stream crossing - Ford,No structure and key upstream habitat,Field assessment,Ford crossing. Stream seasonal and lacks cover. Unlikely fish use.,,https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205298
203628,11302218.0,Mine Creek,Kettle Valley Railway,Stream crossing - Ford,No structure,Field assessment,Ford,,
203633,11304154.0,Shackan Creek,Coyote Flats Road,None,No structure,Field assessment,No structure,Structure washed out in 2021 flood,
203636,,Stumbles Creek,Dodding Ave,Stream crossing - CBS,Passable,Field assessment,Passable CBS,,
203638,,Stumbles Creek,Anderson Road,None,No structure,Field assessment,Ford,,https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205301
203640,,Stumbles Creek,unnamed,Stream crossing - Ford,No structure,Field assessment,No structure,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205313
55cd5d66-5bef-446f-bce3-8b097d001454,,Midday Creek,n/a,Dam,Passable,Field assessment,Passable,Partial earthen dam with open channel at south end.,
d0fe7d87-bba1-4edb-b132-01bdeccd7277,,Midday Creek,n/a,Dam,No key upstream habitat,Field assessment,Upstream of inaccessible wetland,Area flooded by beavers. Unclear whether dam exists.,
1011301807,,Brook Creek,Unnamed,None,No structure,Field assessment,Crossing does not exist,No road observed,
1011300018,11300018.0,Godey Creek,Highway 5,,No key upstream habitat,Field assessment,"No key habitat upstream of Pooley Road. Lack of flows, seasonal, portions of stream with no defined channel. ",,
1011300705,11300705.0,Trib to Nicola River,,,No key upstream habitat,Field assessment,"No key habitat upstream of Pooley Road. Lack of flows, seasonal, portions of stream with no defined channel. ",,
1011300844,11300844.0,Voght Creek,Highway 5,Other,No key upstream habitat,Local knowledge,Impassable falls downstream. Structure not assessed.,,
1011302471,11302471.0,Voght Creek,Unnamed,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls dwonstream,Not accessible to anadrmous salmonids. Crossing not assesed.,
196957,11300867.0,Brook Creek,Kettle Valley Railway,None,No structure,Field assessment,Passable,Burned out bridge has collpased but is not impeding passage.,
197041,11300445.0,Godey Creek,Pooley Road,Stream crossing - CBS,No key upstream habitat,Field assessment,"No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ","Modified channel in industrial area.  Two dead RB found in culvert.  Channel dry.  Seasonal flow in lower reach indicated by local business owner, Saunders",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
1011300553,11300553.0,Godey Creek,,,No key upstream habitat,Field assessment,"No key habitat upstream of Pooley Road. Lack of flows, seasonal, portions of stream with no defined channel. ",,
1024731185,24731185.0,Godey Creek,,,No key upstream habitat,Field assessment,"No key habitat upstream of Pooley Road. Lack of flows, seasonal, portions of stream with no defined channel. ",,
1011306461,11306461.0,Salem Creek,Kettle Valley Railway,Stream crossing - CBS,No key upstream habitat,Field assessment,Swale wit no subsrate upstream of mouth. Habitat values limited to downstream of KVR line during freshet.,,
